"File","Line","Term","Category","Text"
"C:\Users\사용자\mathlib4\PrimalitySheafVerification\Spt1.lean","329","unsafe","POTENTIAL_ACTIVE_RISK","the unsafe automatic-subgroup-cyclicity inference that the review flagged."
"C:\Users\사용자\mathlib4\PrimalitySheafVerification\Spt1.lean","865","native_decide","NATIVE_DECIDE_CHECK_REQUIRED","example : Fintype.card {x : ZMod 9 // (12 : ZMod 9) * x = 0} = 3 := by native_decide"
"C:\Users\사용자\mathlib4\PrimalitySheafVerification\Spt1.lean","1281","Axiom","BLOCK_COMMENT_OR_HEADER","/-! ### Axiom audit (Part A) -/"
"C:\Users\사용자\mathlib4\PrimalitySheafVerification\Spt1.lean","2084","admit","ACTIVE_PLACEHOLDER_CHECK_REQUIRED","gates (which collapse to primality), the PARTIAL filters each admit a composite"
"C:\Users\사용자\mathlib4\PrimalitySheafVerification\Spt1.lean","3322","Axiom","BLOCK_COMMENT_OR_HEADER","/-! ## §8  Axiom audit (Part B) -/"
"C:\Users\사용자\mathlib4\PrimalitySheafVerification\Spt1.lean","3346","native_decide","NATIVE_DECIDE_CHECK_REQUIRED","without it the `native_decide` witnesses below failed to synthesize `Decidable`"
"C:\Users\사용자\mathlib4\PrimalitySheafVerification\Spt1.lean","3575","axiom","POTENTIAL_ACTIVE_RISK","complete, axiom-clean proof."
"C:\Users\사용자\mathlib4\PrimalitySheafVerification\Spt1.lean","3765","axiom","POTENTIAL_ACTIVE_RISK","explicit interface `PadicLogAPI`; no hidden axiom or certificate field claims"
"C:\Users\사용자\mathlib4\PrimalitySheafVerification\Spt1.lean","5271","axiom","POTENTIAL_ACTIVE_RISK","documented long-term interface `SpfPadicBaseChangeInterface` (no silent axiom). -/"
"C:\Users\사용자\mathlib4\PrimalitySheafVerification\Spt1.lean","7529","axiom","POTENTIAL_ACTIVE_RISK","as an explicit input instead of hiding it as a global axiom."
"C:\Users\사용자\mathlib4\PrimalitySheafVerification\Spt2.lean","21","sorry","ACTIVE_PLACEHOLDER_CHECK_REQUIRED","No `sorry` and no project-level `axiom`.  The geometric layers Mathlib cannot"
"C:\Users\사용자\mathlib4\PrimalitySheafVerification\Spt2.lean","70","sorry","ACTIVE_PLACEHOLDER_CHECK_REQUIRED","Spt2.lean — sorry-free, axiom-free verified core and full paper interface"
"C:\Users\사용자\mathlib4\PrimalitySheafVerification\Spt2.lean","75","sorry","ACTIVE_PLACEHOLDER_CHECK_REQUIRED","with NO `sorry` and NO project-level `axiom`.  The `AxiomAudit` section runs"
"C:\Users\사용자\mathlib4\PrimalitySheafVerification\Spt2.lean","77","sorryAx","ACTIVE_PLACEHOLDER_CHECK_REQUIRED","`[propext, Classical.choice, Quot.sound]` — never on `sorryAx`."
"C:\Users\사용자\mathlib4\PrimalitySheafVerification\Spt2.lean","110","axiom","POTENTIAL_ACTIVE_RISK","scheme cotangent complex).  Rather than hide them as global `axiom`s, §6 below"
"C:\Users\사용자\mathlib4\PrimalitySheafVerification\Spt2.lean","116","sorry","ACTIVE_PLACEHOLDER_CHECK_REQUIRED","corollaries, and theorems from that data with no `sorry` and no project axiom."
"C:\Users\사용자\mathlib4\PrimalitySheafVerification\Spt2.lean","636","axiom","POTENTIAL_ACTIVE_RISK","CANNOT be constructed here.  Instead of hiding them as global `axiom`s, we take"
"C:\Users\사용자\mathlib4\PrimalitySheafVerification\Spt2.lean","639","axiom","ACTIVE_PLACEHOLDER_CHECK_REQUIRED","`#print axioms` shows NO `sorryAx` and NO new global axiom: every assumption is"
"C:\Users\사용자\mathlib4\PrimalitySheafVerification\Spt2.lean","717","sorry","ACTIVE_PLACEHOLDER_CHECK_REQUIRED","theorem (no `sorry`, no new axiom, not conditional). -/"
"C:\Users\사용자\mathlib4\PrimalitySheafVerification\Spt2.lean","2244","axiom","POTENTIAL_ACTIVE_RISK","conormal coordinate calculation.  No scheme-level axiom is hidden here: once the"
"C:\Users\사용자\mathlib4\PrimalitySheafVerification\Spt2.lean","2379","axiom","POTENTIAL_ACTIVE_RISK","paper is then a theorem with a closed Lean proof.  There is no `axiom` and no"
"C:\Users\사용자\mathlib4\PrimalitySheafVerification\Spt2.lean","2380","sorry","ACTIVE_PLACEHOLDER_CHECK_REQUIRED","`sorry`; the mathematical hypotheses are visible as structure fields rather than"
"C:\Users\사용자\mathlib4\PrimalitySheafVerification\Spt2.lean","2735","Axiom","BLOCK_COMMENT_OR_HEADER","/-! ## Axiom audit — evidence of `sorryAx`-freeness. -/"
"C:\Users\사용자\mathlib4\PrimalitySheafVerification\Spt2.lean","3256","axiom","POTENTIAL_ACTIVE_RISK","without adding a new project axiom. -/"
"C:\Users\사용자\mathlib4\PrimalitySheafVerification\Spt2.lean","3612","Axiom","BLOCK_COMMENT_OR_HEADER","/-! ### Axiom audit for the theorem-level resultant/discriminant replacement. -/"
"C:\Users\사용자\mathlib4\PrimalitySheafVerification\Spt2.lean","3823","axiom","POTENTIAL_ACTIVE_RISK","the final equivalence is proved from those fields with no `axiom` and no"
"C:\Users\사용자\mathlib4\PrimalitySheafVerification\Spt2.lean","3824","sorry","ACTIVE_PLACEHOLDER_CHECK_REQUIRED","`sorry`."
"C:\Users\사용자\mathlib4\PrimalitySheafVerification\Spt2.lean","4756","Axiom","BLOCK_COMMENT_OR_HEADER","/-! ## K. Axiom audit targets -/"
"C:\Users\사용자\mathlib4\PrimalitySheafVerification\Spt2.lean","4792","sorry","ACTIVE_PLACEHOLDER_CHECK_REQUIRED","No `sorry`, no project `axiom`."
"C:\Users\사용자\mathlib4\PrimalitySheafVerification\Spt2.lean","5329","Axiom","BLOCK_COMMENT_OR_HEADER","/-! ## Axiom audit for the genuine completion layer. -/"
"C:\Users\사용자\mathlib4\PrimalitySheafVerification\Spt2.lean","5454","Axiom","BLOCK_COMMENT_OR_HEADER","/-! ### Axiom audit for the native principal-open layer. -/"
"C:\Users\사용자\mathlib4\PrimalitySheafVerification\Spt2.lean","5485","sorry","ACTIVE_PLACEHOLDER_CHECK_REQUIRED","No `sorry`, no project `axiom`."
"C:\Users\사용자\mathlib4\PrimalitySheafVerification\Spt2.lean","5906","axiom","POTENTIAL_ACTIVE_RISK","so this is a local certificate, not a global axiom. -/"
"C:\Users\사용자\mathlib4\PrimalitySheafVerification\Spt2.lean","5965","axiom","POTENTIAL_ACTIVE_RISK","turn the length computation into a theorem without postulating a global axiom. -/"
"C:\Users\사용자\mathlib4\PrimalitySheafVerification\Spt2.lean","6822","Axiom","BLOCK_COMMENT_OR_HEADER","/-! ## Axiom audit for the geometric workaround layer. -/"
